index,titulo,URL,index,resumo,check
0,É #FAKE vídeo de Paolla Oliveira anunciando desconto de 50% em camarote no Carnaval 2025,https://g1.globo.com/fato-ou-fake/video/e-fake-video-de-paolla-oliveira-anunciando-desconto-de-50-em-camarote-no-carnaval-2025-13354819.ghtml,0.0,é fake post que usa vídeo de paolla oliveira para anunciar desconto de em camarote no carnaval tratase de golpe,fake
1,É #FAKE que vídeo mostre criminosos deixando delegacia após recuperar armas de grosso calibre,https://g1.globo.com/fato-ou-fake/noticia/2025/02/19/e-fake-que-video-mostre-criminosos-deixando-delegacia-apos-recuperar-armas-de-grosso-calibre.ghtml,1.0,polícia civil da bahia onde foi feita a gravação explicou ao g que objetos são do tipo airsoft e simulacros os dois homens que aparecem no registro são criadores de conteúdo e não membros de organização criminosas como dizem publicações falsas,fake
2,É #FATO: vídeo viral mostra treinamento militar nos Estados Unidos,https://g1.globo.com/fato-ou-fake/noticia/2025/02/19/e-fato-video-viral-mostra-treinamento-militar-nos-estados-unidos.ghtml,2.0,publicada em fevereiro de na conta oficial de uma companhia de treinamento de fuzileiros navais gravação voltou a circular no início deste ano no registro homem com pés amarrados usa boca para resgatar máscara no fundo de uma piscina,fato
3,É #FAKE que mamografia aumenta o risco de câncer de mama,https://g1.globo.com/fato-ou-fake/noticia/2025/02/18/e-fake-que-mamografia-aumenta-o-risco-de-cancer-de-mama.ghtml,3.0,integrante da sociedade brasileira de mastologia sbm desmentiu afirmações de que o exame de detecção amplia chance de pacientes terem a doença,fake
4,É #FAKE vídeo em que famosos usam camiseta com Estrela de Davi e dedo do meio para Kanye West,https://g1.globo.com/fato-ou-fake/noticia/2025/02/17/e-fake-video-em-que-famosos-usam-camiseta-com-estrela-de-davi-e-dedo-do-meio-para-kanye-west.ghtml,4.0,autor do registro é criador de conteúdos que usam inteligência artificial e ferramentas de checagem apontaram o uso desse recurso além disso o instagram sinalizou que vídeo é falso e a atriz scarlett johansson protestou contra o uso de sua imagem sem autorização,fake
5,É #FAKE que vinagre de álcool é recomendado para combater mosquito da dengue,https://g1.globo.com/fato-ou-fake/video/e-fake-que-vinagre-de-alcool-e-recomendado-para-combater-mosquito-da-dengue-13347277.ghtml,5.0,é fake que vinagre de álcool é recomendado para combater mosquito da dengue,fake
6,É #FAKE foto que mostra Alexandre de Moraes usando boné da USAID,https://g1.globo.com/fato-ou-fake/noticia/2025/02/14/e-fake-foto-que-mostra-alexandre-de-moraes-usando-bone-da-usaid.ghtml,6.0,imagem criada com inteligência artificial mostra ministro do stf usando acessório com logotipo da agência dos estados unidos para o desenvolvimento internacional ela passou a circular dias depois de trump anunciar que encerraria as atividades do órgão,fake
7,É #FAKE que governo entregou administração de 14% do território brasileiro para empresa,https://g1.globo.com/fato-ou-fake/video/e-fake-que-governo-entregou-administracao-de-14-do-territorio-brasileiro-para-empresa-13338513.ghtml,9.0,é fake que governo entregou administração de do território brasileiro para empresa,fake
8,#NÃO É BEM ASSIM: Nem todo acompanhante de passageiro com TEA ou diabetes tem desconto de 80% na passagem aérea,https://g1.globo.com/fato-ou-fake/noticia/2025/02/13/nao-e-bem-assim-nem-todo-acompanhante-de-passageiro-com-tea-ou-diabetes-tem-desconto-de-80percent-na-passagem-aerea.ghtml,10.0,posts acertam na descrição de como obter desconto junto a companhias mas erram ao dizer que benefício é obrigatório em todos os casos envolvendo pessoas com diabetes ou transtorno do espectro autista pedidos precisam ser investigados caso a caso diz anac,fake
9,É #FAKE que vinagre de álcool é recomendado para combater mosquito da dengue,https://g1.globo.com/fato-ou-fake/noticia/2025/02/13/e-fake-que-vinagre-de-alcool-e-recomendado-para-combater-mosquito-da-dengue.ghtml,11.0,rodrigo gurgel membro da sociedade brasileira de medicina tropical sbmt biólogo e professor da universidade de brasília unb explica que vinagre não é eficaz para controlar aedes aegypti não há evidências científicas que comprovem a eficácia desse método,fake
