index,titulo,resumo,URL
0,Moraes deu bronca em Cid por omitir informações: 'Tem obrigação de falar a verdade',"Transcrições já tinham sido tornadas públicas nesta quarta, mas mídias eram mantidas em sigilo. Material foi liberado nesta quinta e inclui horas de depoimentos no acordo de delação.",https://g1.globo.com/politica/noticia/2025/02/20/moraes-videos-e-audios-delacao-mauro-cid.ghtml
1,"Ao ter prisão decretada, vídeo mostra que Mauro Cid levou as mãos à cabeça","Nesta quinta-feira (20), Moraes tornou públicos os vídeos e áudios da delação de Mauro Cid.",https://g1.globo.com/politica/blog/andreia-sadi/post/2025/02/20/ao-ter-prisao-decretada-video-mostra-que-mauro-cid-levou-as-maos-a-cabeca.ghtml
2,Advogado de Bolsonaro diz que vai pedir anulação de delação de Mauro Cid,"""O surpreendente é que eu tenha que pedir a anulação"", diz Celso Vilardi. Trechos das falas de Cid foram usados em denúncia da PGR contra Bolsonaro por tentativa de golpe de estado.",https://g1.globo.com/politica/blog/andreia-sadi/post/2025/02/20/advogado-de-bolsonaro-diz-que-vai-pedir-anulacao-de-mauro-cid.ghtml
3,VÍDEO: Cid chora ao falar de áudio da filha que foi divulgado pela imprensa,Ex-ajudante de ordens de Jair Bolsonaro se queixa e diz que foi o 'único' a ter familiares expostos ao longo das investigações. Gravações foram divulgadas pelo STF.,https://g1.globo.com/politica/noticia/2025/02/20/video-veja-momento-em-que-mauro-cid-chora-durante-depoimento-de-delacao-premiada.ghtml
4,"'Consciência tranquila', diz Bolsonaro em 1ª aparição pública após denúncia","Ex-presidente foi denunciado ao STF por cinco crimes, incluindo liderança de organização criminosa armada. Tribunal deve julgar ainda este ano; Bolsonaro nega participação em golpe.",https://g1.globo.com/politica/noticia/2025/02/20/denunciado-pela-pgr-bolsonaro-diz-ter-consciencia-tranquila-e-chama-inquerito-do-golpe-de-narrativa.ghtml
5,"'Você pensa que é o fim', diz passageiro de avião que declarou emergência","Voo da Azul que saiu de Campinas rumo a São Luís, desviou para Teresina e por fim pousou em Parnaíba devido ao mau tempo. Ao g1, maranhense que estava entre os passageiros relatou que viajava com a família e que foi a primeira vez que passou por algo semelhante.",https://g1.globo.com/ma/maranhao/noticia/2025/02/20/passageiro-que-estava-em-aviao-que-declarou-emergencia-por-pouco-combustivel-relata-medo-voce-pensa-que-tudo-vai-acabar-ali.ghtml
6,Alta de mais de 40%: por que o ovo disparou? Vai baixar?,"Custo do milho, calor e demanda aquecida puxaram alta. Associação de produtores diz que preço deve se normalizar após a Quaresma, mas economista diz que isso vai depender do preço das carnes bovina, suína e de frango.",https://g1.globo.com/economia/agronegocios/noticia/2025/02/20/por-que-o-preco-do-ovo-disparou-no-brasil-entenda-se-vai-baixar-depois-da-quaresma.ghtml
7,"Hamas entrega a Israel corpos de bebê, criança, mãe e idoso","Mãe e dois filhos são da família Bibas, símbolo do sofrimento dos reféns mantidos em Gaza. Hamas diz que eles foram mortos em ataque israelense. Nesta semana, completou-se 500 dias do ataque que matou 1.200 israelenses e desencadeou a guerra.",https://g1.globo.com/mundo/noticia/2025/02/20/hamas-entrega-corpos-de-bebe-e-mais-3-refens-israelenses.ghtml
8,Calor de 71°C deforma trilho e trem descarrila no Rio,"Segundo a Supervia, a operação foi suspensa por volta das 15h por conta da ocorrência. Concessionária disse que incidente foi causado pela alta temperatura nos trilhos, que chegou a 71°C, dilatando os trilhos.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/trem-do-ramal-guapimirim-descarrila-e-tomba-em-mage-rj.ghtml
9,Motoristas de Uber agora podem bloquear passageiros,"Além das notas baixas, nova ferramenta permite que motoristas da plataforma não recebam mais chamados de passageiros indesejados.",https://g1.globo.com/carros/noticia/2025/02/20/uber-passa-a-permitir-que-motoristas-bloqueiem-passageiros.ghtml
10,Dor de cabeça fez dona de creche voltar a carro e achar garoto morto,"Empresária admitiu que trabalhou normalmente, sem se lembrar que deixou Salomão Faustino, de 2 anos, dentro do veículo estacionado em frente ao berçário de Nerópolis. Defesa disse que cliente 'está profundamente abalada'.",https://g1.globo.com/go/goias/noticia/2025/02/20/dona-de-creche-que-causou-morte-de-menino-ao-esquece-lo-dentro-de-carro-conta-que-trabalhou-normalmente-so-percebeu-que-garoto-estava-no-veiculo-quando-foi-para-casa-e-tentou-reanimar-video.ghtml
11,Oruam é detido no Rio após tentar fugir de abordagem da PM,Vídeo mostra rapper sendo colocado em viatura na orla da Barra da Tijuca. Oruam foi autuado em flagrante por direção perigosa e foi arbitrada fiança - o valor não foi divulgado.,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/oruam-levado-para-delegacia-no-rj.ghtml
12,Servente de pedreiro relata abordagem violenta da PM em SP: 'Tomei joelhada',"Vídeo publicado por Lincoln Vicente de Moura, de 34 anos, teve mais de 5,8 milhões de visualizações no TikTok e mais de 1 milhão no Instagram. Ele disse que não quer denunciar o caso por medo de represálias. Procurada, a Secretaria da Segurança e o Palácio dos Bandeirantes não deram retorno.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/servente-de-pedreiro-viraliza-ao-relatar-abordagem-violenta-da-pm-em-sp-tomei-joelhada-e-fui-chamado-de-vagabundo-por-ter-tatuagem-no-rosto.ghtml
13,Moraes multa X em R$ 8 milhões por não fornecer dados de Allan dos Santos,"Ministro determinou, em outubro, que rede social fornecesse dados cadastrais de uma conta de Allan dos Santos. A decisão foi descumprida pela rede do bilionário Elon Musk.",https://g1.globo.com/politica/noticia/2025/02/20/moraes-manda-x-pagar-multa-de-r-8-milhoes-por-nao-fornecer-dados-cadastrais-de-allan-dos-santos.ghtml
